date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:03:22,279,Magdalena Vieja,Cachito si la vas a seguir perdiendo al menos haz el esfuerzo de recuperarla,14,76,4.5,0,0
2018-09-21 22:03:26,528,San Miguel,'el sólido norte',3,17,5.0,0,0
2018-09-21 22:03:27,2664,Lima,obrigada meu Deus pela terceira viagem internacional em menos de um ano! Há uns dois anos atrás eu não acharia isso possível,22,124,4.681818181818182,0,0
2018-09-21 22:03:33,74,Independencia,"@Edu_Sobrino Claro la facilidad con la q transita comercio es preocupante, y eso sucede xq jugamos sin volante de C… https://t.co/tAMpwuZWlX",21,140,5.714285714285714,0,0
2018-09-21 22:03:35,497,San isidro,Cuantas veces Leao,3,18,5.333333333333333,0,0
2018-09-21 22:03:50,42266,Peru,@Leninguari @AlexDar228 Bueno yo no sé. Lo que si sé es que colocan como excusa para contratarte el consabido PTP p… https://t.co/Fs7kqPNBp7,22,140,5.409090909090909,0,0
2018-09-21 22:04:04,120,La victoria,Insisto después del El Conjuro nada me asusta..#LaMonjaNoDaMiedo,8,64,7.125,0,0
2018-09-21 22:04:17,3707,Miraflores,Mi terror: https://t.co/ncyLl9RVV7,3,34,10.666666666666666,0,0
2018-09-21 22:04:21,115,Magdalena Vieja,"Eso de inmunidad debe ser anulado.
Inmunidad para robar
Para matar
Para engañar
NO A LA INMUNIDAD DEL ESTADO
JUECES… https://t.co/gOztPltwtZ",16,140,5.714285714285714,0,0
2018-09-21 22:04:42,240,Lima,I'm at Tacna / Emancipación in Lima https://t.co/Urx37d7T8N https://t.co/aopPnAboOa,9,83,8.333333333333334,0,0
2018-09-21 22:05:10,274,Lima,"Que bestia @Leaobutron, merece un monumento en Matute más que fijo. Gracias San Leao!",14,85,5.142857142857143,0,0
2018-09-21 22:05:38,161,Los Olivos,@PedritoChamakO amio alpak practica tu acento veneko,7,52,6.571428571428571,0,0
2018-09-21 22:05:38,11731,Lima,#Atención | A un día de iniciar la primavera el @Senamhiperu informó lloviznas y bajas 🌧️ temperaturas continuarán… https://t.co/zBYkC6lywx,19,139,6.368421052631579,1,0
2018-09-21 22:05:48,741,Lima,"I'm at Ministerio de la Mujer y Poblaciones Vulnerables in Cercado de Lima, Lima https://t.co/lZ1Ro6oeVH",15,104,6.0,0,0
2018-09-21 22:06:12,281,San isidro,"A pocos días del estreno de “El caballo del Libertador”, escrita y dirigida por alfonsosantistevan, como parte de… https://t.co/zU7LYPrKpA",19,138,6.315789473684211,0,0
2018-09-21 22:06:13,345,San isidro,Sea of capuccino 🌊 en La Baguette https://t.co/tUwWr91JeX,8,57,6.25,0,0
2018-09-21 22:06:20,2492,Peru,Indignado por salida de @Phill_Butters de @exitosape qué claro está nadie verá más y la radio quedará sólo con dine… https://t.co/89qM8bJgrR,21,140,5.714285714285714,0,0
2018-09-21 22:06:21,120,La victoria,Mamarracho mamarracho,2,21,10.0,0,0
2018-09-21 22:06:40,3451,Magdalena del Mar,Olazabal es un cobarde @BarbaraMerino19 yo vivo en Magdalena y este sujeto al igual que su secuaz Alisson son la mi… https://t.co/HBjo71ojCc,22,140,5.409090909090909,0,0
2018-09-21 22:07:09,367,Miraflores,"Quedarse hasta más tarde en la oficina solo puede tener su lado positivo, como escuchar la música que quieres tranq… https://t.co/F94bnPTWCd",21,140,5.714285714285714,0,0
2018-09-21 22:07:15,164,Santiago de Surco,Que hagan Undo a este lastre cuyo culpable es PPK,10,49,4.0,0,0
2018-09-21 22:07:18,26,Santiago de Surco,"@suriel @Phill_Butters @salvajedigital @exitosape YA ABURRIA CON LA FIRMS DE HABLAR DE CORRUPCION PERO NO DE LA SRA ""K"" ni de AG.",22,129,4.909090909090909,0,0
2018-09-21 22:07:30,528,San Miguel,Siempre términamos hablando de RR.II,5,36,6.4,0,0
2018-09-21 22:07:49,82,Miraflores,"Entra a nuestro Fb y enterate de como ganar estos premios, no te olvides #GeekTownShow todos los #Sabado a las 11am… https://t.co/BW41I1NUGj",22,140,5.409090909090909,2,0
2018-09-21 22:08:16,285,Miraflores,"Navidad en el cielo y la tierra 🎄 (@ Mibanco in Surquillo, Lima) https://t.co/wb2Dywzw9R",14,88,5.357142857142857,0,0
2018-09-21 22:08:27,188,Breña,Jajaja ¿etiqueto o no etiqueto? 🤭 https://t.co/jv2aJVYZHh,7,57,7.285714285714286,0,0
2018-09-21 22:09:00,223,Lima,"""Apply, apply, apply until you get it"" Dr @EnriqueSoto8 guiding the @ASCO sponsored #CancerInterestGroup of Peruvia… https://t.co/kJ1c8sktp2",17,140,7.294117647058823,1,0
2018-09-21 22:09:28,179,Miraflores,Una tarde buenísima! #Mewtwo @PokemonGoApp https://t.co/K8NkJr1WEB,6,66,10.166666666666666,1,0
2018-09-21 22:09:36,98,San Miguel,"@eduaraliaga71 @StyloyColor @Politica_LR Si le importa si se va de karaoke, invítelo pues, sabrá si canta bien o mal.",19,117,5.2105263157894735,0,0
2018-09-21 22:09:44,134,Lima,Y pensar que todo comenzó con un «haiga». Yo también estudié en el *Udec 🙋🏻‍♀️💙,15,79,4.333333333333333,0,0
2018-09-21 22:09:46,42266,Peru,@Mibelis @johnmagdaleno Claro que sí Mibelis. Han funcionado para demostrar que hacen fraude. No sirve de nada prec… https://t.co/WQE2n02etF,19,140,6.421052631578948,0,0
2018-09-21 22:10:05,132,San isidro,@JsJuliocarlos8 Minagri...que fue?,3,34,10.666666666666666,0,0
2018-09-21 22:10:10,246,Santiago de Surco,@AndreaBHits Jajajajaja csmr,3,28,8.666666666666666,0,0
2018-09-21 22:10:21,246,Santiago de Surco,@AndreaBHits Jajajaa chch,3,25,7.666666666666667,0,0
2018-09-21 22:10:25,37,Magdalena Vieja,"@hurgamemoriaPE @Phill_Butters Entre tipejos se uyudan . El sr AG trata de aparecer en toda noticia buena o mala ,… https://t.co/F2lDyHKD0i",21,139,5.666666666666667,0,0
2018-09-21 22:10:40,2190,Lima,El partido en Moyobamba hace rato que se terminó. Lo gana bien Alianza Lima. Tendrían que suceder dos milagros de e… https://t.co/L1WdYfaW1N,22,140,5.409090909090909,0,0
2018-09-21 22:10:49,3871,Rimac,Ya estamos la Red de Activismo Joven de @amnistiaperu en la Universidad Federico Villarreal a punto de iniciar el t… https://t.co/153Cg8Ag1w,21,140,5.714285714285714,0,0
2018-09-21 22:11:19,347,Villa Maria del Triunfo,"Mi nuevo tatuador es churro. Listo, sólo eso",8,44,4.625,0,0
2018-09-21 22:11:51,827,Miraflores,"Mutter Paneer &amp; Veg Samosas, almuerzo Indio con jc y Tatixxx en Mantra Garden Restobar https://t.co/wEO2DWGXdM",16,114,6.1875,0,0
2018-09-21 22:11:59,82,Breña,Este sábado en #GeekTownShow estaremos en una #divertida #Entrevista con el #cosplayer #AndrésAlexander conocido co… https://t.co/KSNwJYz4x7,16,140,7.8125,5,0
