date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics,Tweets_clean,ACTIONS,NOUNS
2018-10-20 01:57:03,92,Lima,@elpanfletope @AlanGarciaPeru chancho no come chancho,5,48,8.8,0,0,elpanfletope alangarciaperu chancho come chancho,,elpanfletope
2018-10-20 01:57:10,32,Lince,@exitosape @JulianaOxenford A DONDE DICE ...,3,30,9.333333333333334,0,0,exitosape julianaoxenford dice,dice,exitosape
2018-10-20 01:57:12,195,Brasil,@anajuliachs kkkk 1 mês,4,22,4.75,0,1,anajuliachs kkkk 1 mês,,mês
2018-10-20 01:57:17,228,Chimbote,"Ultima noche de #SemanaDeMayordomia en la @IASDEsperanza, aprendiendo sobre la importancia de ser fiel a Dios con l… https://t.co/gMo19IEnh6",11,105,8.636363636363637,1,0,ultima noche semanademayordomia iasdesperanza aprendiendo importancia ser fiel dios l… httpstcogmo19ienh6,aprendiendo,noche
2018-10-20 01:57:18,123,San Miguel,@fernando_roman1 Jajaja,2,21,10.0,0,0,fernandoroman1 jajaja,,jajaja
2018-10-20 01:57:23,278,Victor Larco Herrera,"Extraño casa, a mamá y también a papá",4,22,4.75,0,0,extraño casa mamá papá,,casa
2018-10-20 01:57:30,13,Lima,"Cooking with fire in Peru today #cookingclass #seerundo #lima #peru #southamerica @ Lima, Peru https://t.co/llmzIMjMUo",14,105,6.571428571428571,5,0,cooking with fire in peru today cookingclass seerundo lima peru southamerica lima peru httpstcollmzimjmuo,"peru, seerundo","cooking, peru, fire"
2018-10-20 01:57:33,274,La victoria,"Con shows y música en vivo, Tecnópolis cierra la temporada 2018 - https://t.co/1IEf6pA3xy https://t.co/OsvLdOmSNY https://t.co/uGbfu5h1wN",10,106,9.7,0,1,show música vivo tecnópolis cierra temporada 2018 httpstco1ief6pa3xy httpstcoosvldomsny httpstcougbfu5h1wn,"cierra, httpstcoosvldomsny","música, temporada"
2018-10-20 01:57:35,366,La Molina,"Maldita perra. Perdón, me alteré 💁🏻‍♀️",5,33,5.8,0,0,maldita perra perdón alteré 💁🏻‍♀️,alteré,"♀, perra"
2018-10-20 01:57:35,269,Piura,@MininterPeru @pcmperu @vizcarrhagan algo!!! Denle seguridad a este valiente fiscal y su familia!,9,78,7.777777777777778,0,0,mininterperu pcmperu vizcarrhagan algo denle seguridad valiente fiscal familia,vizcarrhagan,seguridad
2018-10-20 01:57:42,38316,Ecuador,"🇪🇨🇪🇨QUITO , ECUADOR !!! 🇪🇨🇪🇨
Nos vemos mañana !!! #EslaE https://t.co/cELyNbgGYv",7,60,7.714285714285714,1,0,🇪🇨🇪🇨quito ecuador 🇪🇨🇪🇨 vemos mañana eslae httpstcocelynbggyv,"quito, vemos",🇪
2018-10-20 01:57:47,226,Chiclayo,@Sasha71396634 @ernesto_jx @HNinurta @Gabospeed94 @karla_ugaz @Vero_Mendoza_F A cualquiera q no quiere ver al pais… https://t.co/DXLXpyERfG,12,116,8.75,0,0,sasha71396634 ernestojx hninurta gabospeed94 karlaugaz veromendozaf cualquiera q quiere ver pais… httpstcodxlxpyerfg,quiere,"sasha71396634, ernestojx"
2018-10-20 01:57:52,627,Ecuador,"¡CONOCE! más sobre el proceso de exhumación en el caso Mascarilla. 
#ComprometidosConLaVerdad
#ForensesEC

https://t.co/PNDNvdfmDS",8,97,11.25,2,0,¡conoce proceso exhumación caso mascarilla comprometidosconlaverdad forensesec httpstcopndnvdfmds,conoce,"comprometidosconlaverdad, caso, proceso"
2018-10-20 01:58:02,444,Magdalena Vieja,Mes morado. https://t.co/eeXkp0WRGW,3,28,8.666666666666666,0,0,me morado httpstcoeexkp0wrgw,,
2018-10-20 01:58:07,3285,San Borja,¿? 🤔 https://t.co/WzWCoH03MD,3,22,6.666666666666667,0,0,¿ 🤔 httpstcowzwcoh03md,,
2018-10-20 01:58:08,344,Brasil,@ronaldo_mendes triste fim da Baleia... bora fazer um vidas secas com um final mais feliz para baleia,16,91,4.75,0,0,ronaldomendes triste fim da baleia bora fazer um vidas secas com um final mais feliz baleia,da,"com, baleia, vidas, final"
2018-10-20 01:58:16,558,San isidro,@patriciagamarra 😆😆😆😆,2,20,9.5,0,0,patriciagamarra 😆😆😆😆,,patriciagamarra
2018-10-20 01:58:29,23611,Brasil,"MT @COLRICHARDKEMP
 pt; ""Quinze mulheres disseram aos júris o que aconteceu com elas entre 2004 e 2011 quando tinha… https://t.co/kaG9ow1j5E",16,116,6.3125,0,2,mt colrichardkemp pt quinze mulheres disseram aos júris aconteceu com ela 2004 2011 quando tinha… httpstcokag9ow1j5e,"aconteceu, quando","ela, quinze, mulheres"
2018-10-20 01:58:31,538,Cruzeiro do Sul,Queria morar no Canadá,3,19,5.666666666666667,0,0,queria morar canadá,,queria
2018-10-20 01:58:31,284,Peru,Kerch mourns victims of college massacre as survivors recall horrors of blast &amp; shooting (VIDEO) — RT World News https://t.co/5S7dxLC4J9,20,127,5.4,0,0,kerch mourns victim of college massacre a survivor recall horror of blast amp shooting video — rt world news httpstco5s7dxlc4j9,"mourns, httpstco5s7dxlc4j9","survivor, shooting, recall, college, world"
2018-10-20 01:58:35,64,Lima,@MyPinkWorld25 Estas a 11 días,3,21,6.333333333333333,0,1,mypinkworld25 11 días,,días
2018-10-20 01:58:49,310,Cajamarca,"Y pensar que en el Convento de San Francisco reposan los restos de ""Fray Gómez"", quien fue inmortalizado por Ricard… https://t.co/CTaZk5k9GG",11,96,7.818181818181818,0,0,pensar convento san francisco reposan restos fray gómez inmortalizado ricard… httpstcoctazk5k9gg,"reposan, pensar, gómez",restos
2018-10-20 01:58:55,8891,Peru,"Reaccionando a ❌TE PUSE A PERDER ❌ de @JavierRamirezE y @QueAmara 

🔥🔥🔥https://t.co/sAnBZQYXOx https://t.co/IhVkP5gmmH",9,95,9.666666666666666,0,0,reaccionando ❌te puse perder ❌ javierramireze queamara 🔥🔥🔥httpstcosanbzqyxox httpstcoihvkp5gmmh,"puse, javierramireze","🔥, ❌"
2018-10-20 01:58:58,13,Miraflores,Shopping for our cooking class today #mercado #seerundo #lima #peru #southamerica @ Mercado N#1 de Surquillo https://t.co/eQG5t3Podt,15,116,6.8,5,0,shopping for our cooking class today mercado seerundo lima peru southamerica mercado n1 surquillo httpstcoeqg5t3podt,"peru, seerundo, shopping",httpstcoeqg5t3podt
2018-10-20 01:58:58,3015,Brasil,"GENTE CADÊ A LIVE????????? 

SIGAM ANAPAULARENAULT",5,37,6.6,0,0,gente cadê live sigam anapaularenault,cadê,
2018-10-20 01:59:05,1004,Ayacucho,Motherfucking payasos,2,21,10.0,0,0,motherfucking payasos,,motherfucking
2018-10-20 01:59:08,7418,Lima,Acompañamos a nuestros autores @alvarobisama y Marcelo Mellado en el Festival de la Palabra en @CCULTURALPUCP… https://t.co/715Dv4SE34,9,99,10.11111111111111,0,0,acompañamos autores alvarobisama marcelo mellado festival palabra cculturalpucp… httpstco715dv4se34,acompañamos,"httpstco715dv4se34, marcelo, festival"
2018-10-20 01:59:10,671,Machala,"Esto es increíble y toda la responsabilidad es de la cooperativa, donde están los protocolos de seguridad que deben… https://t.co/ghDF0aodCX",8,89,10.25,0,0,increíble toda responsabilidad cooperativa protocolos seguridad deben… httpstcoghdf0aodcx,,"responsabilidad, httpstcoghdf0aodcx"
